video_id,audiocap_groundtruth,generated_caption,audiocap_rouge1_recall,audiocap_bert_precision,audiocap_bert_recall,audiocap_bert_f1
-Vo4CAMX26U_30.000_40.000,A musical instrument is played with the sound echoing.,A synthesizer is playing a song with a low pitched hum.,0.3333,0.8899,0.9031,0.8964
1c7NBk1x3y0_30.000_40.000,The car engine roared.,A car engine revs and then turns off.,0.5,0.9057,0.9696,0.9365
2Tx5L5RBXxw_200.000_210.000,"with the sound of flowing water, a man is speaking",A man is speaking while water is splashing and gurgling.,0.5,0.886,0.8992,0.8926
2gc1L3g1itU_20.000_30.000,Someone is playing the piano with a melodious sound.,A musical instrument is being played with a soft melody.,0.3333,0.9222,0.9169,0.9196
42yFzSA1DFk_50.000_60.000,A man snores.,A person is snoring loudly while sleeping,0.3333,0.9005,0.9407,0.9202
4KeFV0rAu_0_14.000_24.000,A song is played.,A man is singing and a guitar is playing,0.5,0.8926,0.9274,0.9097
5n0xq6pE_mg_300.000_310.000,"A man yelled, two gun shots were fired, a bomb exploded.",A group of people are talking and a car is driving.,0.1818,0.8741,0.865,0.8695
7FT1WnwOcxA_40.000_50.000,The sound of a table tennis ball bouncing on the table.,A person is hammering a hammer on a wooden tool.,0.1818,0.8834,0.8829,0.8832
8aKhvS70_zY_40.000_50.000,A dog is barking.,"A dog barks and whimpers, and a person speaks quietly.",0.5,0.9006,0.9483,0.9238
94Y_QnedxB8_11.000_21.000,"someone is typing on a keyboard, then a huge crash is heard.","A person typing on a computer keyboard, and then a crowd starts to laugh.",0.5,0.9224,0.9226,0.9225
AU1l1i0H0j0_30.000_40.000,A background music is playing with a sound of spraying paint.,A radio tuner is being adjusted through static and the radio is playing a lot of static.,0.4545,0.8765,0.8912,0.8838
BPFA7RzzJdM_10.000_20.000,A light music is playing.,A music box is playing a song with a lot of music in the background.,0.8,0.9014,0.9238,0.9125
CZc9MZIxSSc_30.000_40.000,The crackling sound made by a rope swinging through the air,A person is whipping up a rope in the wind.,0.2727,0.9128,0.8816,0.8969
CaYNuuW9rt4_11.000_21.000,Two different hissing sound of horses,A person is vocalizing something then the person is trying to start a conversation.,0.0,0.8444,0.8434,0.8439
CgTc_-A_Gzw_0.000_8.000,A whistling sound,"A whistle is blown once, then it is blown again.",0.3333,0.8431,0.8561,0.8496
HTBxRn8Sbyc_7.000_17.000,a machine is cutting trees,A machine is running and then stops and starts up again.,0.6,0.8657,0.9039,0.8844
Jk5dHnmduAg_320.000_330.000,birds are shot down,A bird flies away and then a machine gun fires.,0.0,0.8762,0.8824,0.8793
KzzKguqINa8_100.000_110.000,a piece of music is being played,A person playing a piano sound followed by a sound effects unit.,0.1429,0.8531,0.8584,0.8558
Ln0Epmhtvao_150.000_160.000,tubular instrument is being struck. different instruments are being played,A bell is ringing and a piano is playing music.,0.1,0.8699,0.8616,0.8657
Meshocn2mZQ_30.000_40.000,music and croaking are played,A frog croaks while a music is played in the background.,0.4,0.8768,0.8756,0.8762
