video_id,objectlabels_groundtruth,generated_caption,objectlabels_rouge1_recall,objectlabels_bert_precision,objectlabels_bert_recall,objectlabels_bert_f1
-EZDd29Id-A.21,man battery circuit tools,a red car pulled up on the side of the road making a buzz,0.0,0.8331,0.8517,0.8423
-Vo4CAMX26U_30.000_40.000,instrument man outside,a man in a black coat was skating on a skateboard,0.3333,0.8458,0.9182,0.8805
-rr68KmhIzc.20,man woman video game,in the room a man was playing the piano which made a wonderful sound,0.25,0.8236,0.8364,0.83
0A5UYpuxRQg.10,woman patch cup drinks,in the picture the sound of the whistle came from the ear and the sound of the whistle came out,0.0,0.8248,0.8153,0.82
1c7NBk1x3y0_30.000_40.000,black car white house,in the whirring wind a windmill was spinning in the air,0.0,0.7969,0.8081,0.8024
1lfmwRJYins.9,man TV video game,outside the wind chime was swinging and the wind chimes were ringing,0.0,0.8152,0.8317,0.8234
2Tx5L5RBXxw_200.000_210.000,water fish fishing rod,in the music a man dances in front of a blue background,0.0,0.8213,0.8142,0.8177
2gc1L3g1itU_20.000_30.000,piano fingers,on the stage a band was playing making a beautiful sound,0.0,0.8154,0.8227,0.819
2xmCKjpuSfQ.24,man black holiday,in the room a man was playing the electronic organ which made a wonderful sound,0.3333,0.8143,0.8194,0.8169
42yFzSA1DFk_50.000_60.000,a man month,in the music a clock is spinning,0.3333,0.8039,0.8174,0.8106
4KeFV0rAu_0_14.000_24.000,A phone with a broken screen,in the room a woman in a green dress was tapping on the keyboard making a crackling sound,0.3333,0.8311,0.8506,0.8408
4lUOJNaRy3I.3,man woman wedding microphone,in the room a man was polishing a piece of wood with a tool making a squeaky sound,0.25,0.8232,0.8369,0.83
4vtPYQ7cyd0.10,video game gun,a man in a black coat was playing the violin making a wonderful music,0.0,0.8213,0.8506,0.8357
5_-yllGCcFk.118,boy on the ground,in the room a clock was placed on the wall and the sound of the clock was heard,0.5,0.8458,0.8511,0.8484
5n0xq6pE_mg_300.000_310.000,"A man with a bomb strapped to him, a man firing two gunshots",a picture of a horse appears on the screen amid the noise,0.1538,0.8607,0.854,0.8573
68-QAwB8TdI.1,two men metal sheet,a string of english letters appeared on a black background followed by a string of english letters with music in the background,0.0,0.8154,0.8527,0.8337
6duevT5XQjI.12,two men talking on a show,a woman in a white top and a woman in a black top sat in a black chair talking,0.3333,0.848,0.9077,0.8769
7FT1WnwOcxA_40.000_50.000,person table tennis,in the cage a mouse was barking,0.0,0.8229,0.8308,0.8268
8aKhvS70_zY_40.000_50.000,girl on the bed,in the room a tv set was playing and there was a noise,0.25,0.8313,0.8897,0.8595
94Y_QnedxB8_11.000_21.000,woman keyboard monitor,outside a group of people in uniform dress were playing musical instruments making a nice sound,0.0,0.8239,0.8455,0.8346
96VZFklUM_Q.32,man speaker in the wild,a black car pulled up on the side of the road making a buzz,0.2,0.8515,0.878,0.8646
9PhmPJ_p_T4.14,man holding a product,in the room a man was tapping on a drum set which made a rhythmic sound,0.5,0.8462,0.8578,0.852
A-7BwBBtzUI.89,cartoon man large bird,in the room a man was sleeping and snoring,0.25,0.8288,0.8549,0.8417
AU1l1i0H0j0_30.000_40.000,spray metal object,a flock of birds flew in the sky and made a sound,0.0,0.8384,0.8445,0.8414
BPFA7RzzJdM_10.000_20.000,clock rotating gears,in the room the alarm clock rang,0.3333,0.8458,0.8291,0.8374
Bltc4o615qI.43,two men talking on a show,in the music a broken phone is displayed,0.1667,0.8363,0.8571,0.8465
CZc9MZIxSSc_30.000_40.000,man swings a long whip,a man in a black coat was riding a bicycle on the road,0.4,0.8616,0.8678,0.8647
CaYNuuW9rt4_11.000_21.000,horse pictures,in the room a man was cutting a piece of cloth with scissors,0.0,0.8136,0.8145,0.8141
CgTc_-A_Gzw_0.000_8.000,audio amplitude notes,in the sound of the bell the camera is directed at the clock in the sky,0.0,0.8201,0.8094,0.8147
D7-F3rQX4VI.4,girl brown hair pigtail pink lips floral dress,in the music a picture of a woman in a white dress is displayed,0.125,0.8268,0.7922,0.8091
Fn4ULUxA3KI.21,building race to replace akerson,a man in a green jacket sprays paint on a silver object amid the music,0.0,0.8144,0.8127,0.8135
GfoyjUOE9Ek.8,hand egg table sofa,a man was playing with a toy on the table making a rattle,0.25,0.8328,0.8204,0.8265
HTBxRn8Sbyc_7.000_17.000,tree wood river forest machine,a man in a gray coat was polishing a piece of wood with a machine that whirred,0.4,0.8183,0.8549,0.8362
INNIheBpNKY.22,andre snellings hoopslab,in the music a picture of a man and a woman appears followed by a picture of a man and a woman,0.0,0.7962,0.7615,0.7785
