video_id,audiocap_groundtruth,generated_caption,audiocap_rouge1_recall,audiocap_bert_precision,audiocap_bert_recall,audiocap_bert_f1
-Vo4CAMX26U_30.000_40.000,A musical instrument is played with the sound echoing.,Thanks for watching.,0.0,0.7927,0.8357,0.8136
1c7NBk1x3y0_30.000_40.000,The car engine roared.,Thanks for watching!,0.0,0.7605,0.8403,0.7984
2Tx5L5RBXxw_200.000_210.000,"with the sound of flowing water, a man is speaking","That's it, she's not tired yet, she's going to have a bad time.",0.1,0.8519,0.8503,0.8511
2gc1L3g1itU_20.000_30.000,Someone is playing the piano with a melodious sound.,I'm out!,0.0,0.8578,0.8427,0.8502
42yFzSA1DFk_50.000_60.000,A man snores.,Thank you for watching!,0.0,0.7776,0.8507,0.8125
4KeFV0rAu_0_14.000_24.000,A song is played.,"That's how I know I love you, that's how I know I trust you.",0.0,0.8181,0.8529,0.8352
5n0xq6pE_mg_300.000_310.000,"A man yelled, two gun shots were fired, a bomb exploded.","I got this. Oh, no! Oh, no! Oh, no! Oh, no! Oh, no! Don't be moved. Oh! Oh! Oh!",0.0,0.7926,0.8449,0.8179
7FT1WnwOcxA_40.000_50.000,The sound of a table tennis ball bouncing on the table.,We'll see you next week!,0.0,0.8059,0.8244,0.8151
8aKhvS70_zY_40.000_50.000,A dog is barking.,the dog is barking dog barking dog barking dog barking dog barking,0.75,0.8885,0.9593,0.9225
94Y_QnedxB8_11.000_21.000,"someone is typing on a keyboard, then a huge crash is heard.",Fuck yeah.,0.0,0.8756,0.8327,0.8536
AU1l1i0H0j0_30.000_40.000,A background music is playing with a sound of spraying paint.,Thanks for watching!,0.0,0.7623,0.8214,0.7908
BPFA7RzzJdM_10.000_20.000,A light music is playing.,,0.0,0.0,0.0,0.0
CZc9MZIxSSc_30.000_40.000,The crackling sound made by a rope swinging through the air,,0.0,0.0,0.0,0.0
CaYNuuW9rt4_11.000_21.000,Two different hissing sound of horses,Abl! Expl!,0.0,0.796,0.8098,0.8029
CgTc_-A_Gzw_0.000_8.000,A whistling sound,. . . . .,0.0,0.7486,0.7969,0.772
HTBxRn8Sbyc_7.000_17.000,a machine is cutting trees,"Please Subscribe, Like, Comment and Share",0.0,0.746,0.8273,0.7846
Jk5dHnmduAg_320.000_330.000,birds are shot down,,0.0,0.0,0.0,0.0
KzzKguqINa8_100.000_110.000,a piece of music is being played,,0.0,0.0,0.0,0.0
Ln0Epmhtvao_150.000_160.000,tubular instrument is being struck. different instruments are being played,"CCoSp4 3.50 (-0.70), Nov 1st 2021",0.0,0.7889,0.8287,0.8083
Meshocn2mZQ_30.000_40.000,music and croaking are played,Thanks for watching.,0.0,0.7984,0.8195,0.8088
Olrb-mdHJ7s_150.000_160.000,mouse is making a sound,"click, click, click, click . . .",0.0,0.8225,0.8597,0.8407
OseeYF_ud7g_120.000_130.000,an instrument is being played,Thank you.,0.0,0.8638,0.8322,0.8477
P9keWnQjNJY_20.000_30.000,chickens are clucking with the wind blowing,Okey dokey!,0.0,0.7538,0.8221,0.7864
R7ls6ZQJ5UM_570.000_580.000,a music is played,,0.0,0.0,0.0,0.0
RX5jaZv52rQ_280.000_290.000,some noise,And I'll see you guys next time. Bye guys.,0.0,0.8158,0.8232,0.8195
SlcWZ2TKjnM_140.000_150.000,a music is played,,0.0,0.0,0.0,0.0
Sv9fcuRfk2o_70.000_80.000,two men are laughing and takling happily,"I hope you enjoyed walking all the way back to your car, Rick. Right now? Or in a few minutes? In a minute.",0.0,0.8225,0.8394,0.8308
TiFboW8mqd4_30.000_40.000,a bird is making a sound,,0.0,0.0,0.0,0.0
Uq3iKbCNDCM_60.000_70.000,violin instrument music,,0.0,0.0,0.0,0.0
W7gn2todzbg_30.000_40.000,alarm is ringing and clock ticks,Thanks for watching!,0.0,0.7649,0.7991,0.7816
ZHSPLH5-zvw_50.000_60.000,"The crisp, continuous sound of drumming or music instrument",,0.0,0.0,0.0,0.0
ZX7EzqMBjfo_160.000_170.000,"The melodious sound of musical instruments, piano music",,0.0,0.0,0.0,0.0
