video_id,objectlabels_groundtruth,generated_caption,objectlabels_rouge1_recall,objectlabels_bert_precision,objectlabels_bert_recall,objectlabels_bert_f1
-EZDd29Id-A.21,man battery circuit tools,"This video features two individuals seated at a table, presumably participating in a job interview. The video seems to be taken from a television program, given the context clues such as the red color at the bottom and the title ""L'essai de carrière"" which translates to ""Career Break,"" suggesting it is a French TV show. On the left, there is a woman who appears to be seated at the table and focused on typing on a keyboard, possibly as",0.0,0.7737,0.8368,0.804
-Vo4CAMX26U_30.000_40.000,instrument man outside,"This video shows a park setting with several features:


1. A park bench with a view of nature in the background, set against a stone wall and surrounded by plants, trees, and other greenery.
2. A garden area with a variety of plants and trees, including red flowers and possibly others.
3. A view of the bench with a man sitting, facing the camera and leaning back in the direction of the garden area.
4. The stone",0.3333,0.7919,0.8639,0.8263
-rr68KmhIzc.20,man woman video game,"The video depicts a dynamic urban street scene with two motorcyclists in the foreground. Both riders are wearing leather jackets and helmets, giving them a sense of protection and readiness for a journey. The motorcycles are sleek, with glossy black finishes and shiny chrome details, suggesting they are of high quality and possibly well-maintained. The rider in the foreground is in a dynamic pose, with arms out",0.25,0.789,0.8326,0.8102
0A5UYpuxRQg.10,woman patch cup drinks,"In this video, we see a group of young men standing in a parking lot, with vehicles parked around them. They are engaged in conversation, with one of the individuals holding up a beverage for a closer look. The weather is sunny, as evidenced by the bright lighting and shadows cast on their faces. The atmosphere is relaxed and casual, with everyone dressed in a range of casual outfits. The video ends shortly after it begins.",0.0,0.7953,0.8134,0.8042
1c7NBk1x3y0_30.000_40.000,black car white house,"The video features a large ensemble of people playing various instruments as part of an orchestra, likely at a live performance or a recording session. The camera captures multiple individuals seated and standing near harps, cymbals, drums, and strings. The scene takes place in an auditorium where people are seated and watching, while an orchestra practices their music. The camera pans back and forth across the room, capturing individuals in the foreground and background, with a",0.0,0.7793,0.7999,0.7895
1lfmwRJYins.9,man TV video game,"The video captures a young boy riding a bicycle down a quiet suburban road. The boy is in motion, riding past houses, with the camera focused on his back. He seems to be enjoying a leisurely ride with his hands resting on the handlebars. There are no other riders or significant activity visible in the scene. The road is lined with trees and a sidewalk, suggesting a residential neighborhood. The image is captured during daylight",0.25,0.7941,0.8307,0.812
2Tx5L5RBXxw_200.000_210.000,water fish fishing rod,"This is a video clip that features a man in an outdoor setting, possibly in a park or natural area with grass and trees in the background. He has a beard and is wearing a black polo shirt, and appears to be engaged in a conversation or delivering a message, possibly as part of a public announcement or a commentary. There is an overlay of social media interaction on the screen, with the man's face on the left and the like and dislike",0.0,0.7744,0.8126,0.793
2gc1L3g1itU_20.000_30.000,piano fingers,"The video displays a close-up view of a mechanical component, possibly a piece of industrial equipment or a vehicle part, with text overlaid at the bottom indicating it is rusted. The colors are muted, dominated by shades of blue, gray, and black. The focus is on the metal and its surface texture, highlighting the presence of rust, wear, and possible corrosion, suggesting age or exposure to harsh elements. There are no human figures or any",0.0,0.7738,0.8264,0.7992
2xmCKjpuSfQ.24,man black holiday,"In the video, there is a man standing in a room filled with statues. The statues are various and appear to be of people and horses, some of which are covered in fire. The man is wearing a red shirt and seems to be standing in front of a wall with some writings on it, and behind him is a structure that resembles a forest with trees and plants, which is lit up by the fire from the statues, giving the setting a wild and",0.3333,0.7677,0.8227,0.7943
42yFzSA1DFk_50.000_60.000,a man month,"The video appears to show a group of individuals in an indoor setting, engaged in what seems to be a virtual reality game or simulation involving agriculture. One of the participants, a young male, is standing out in the open, actively engaging with the game using motion-sensitive controllers. He is wearing a sleeveless shirt and has his arm raised, indicating a strong action, perhaps throwing or plowing the virtual soil, as part of the game's",0.3333,0.7715,0.8157,0.793
