video_id,audiocap_groundtruth,generated_caption,audiocap_rouge1_recall,audiocap_bert_precision,audiocap_bert_recall,audiocap_bert_f1
-Vo4CAMX26U_30.000_40.000,A musical instrument is played with the sound echoing.,A synthesized electronic sound effect is playing,0.3333,0.8635,0.8781,0.8708
1c7NBk1x3y0_30.000_40.000,The car engine roared.,A motorcycle engine revs and then idles,0.25,0.8713,0.9401,0.9044
2Tx5L5RBXxw_200.000_210.000,"with the sound of flowing water, a man is speaking",Water is splashing and a man is talking,0.4,0.9006,0.8921,0.8963
2gc1L3g1itU_20.000_30.000,Someone is playing the piano with a melodious sound.,A person playing a guitar with a lot of notes in the background,0.4444,0.8985,0.8986,0.8986
42yFzSA1DFk_50.000_60.000,A man snores.,A person snoring loudly and consistently,0.3333,0.8779,0.9335,0.9049
4KeFV0rAu_0_14.000_24.000,A song is played.,A person is singing a song with music in the background,0.75,0.8802,0.9203,0.8998
5n0xq6pE_mg_300.000_310.000,"A man yelled, two gun shots were fired, a bomb exploded.",A crowd of people talking and a car driving by,0.1818,0.8673,0.8605,0.8639
7FT1WnwOcxA_40.000_50.000,The sound of a table tennis ball bouncing on the table.,A person hammers on a hard surface,0.1818,0.8749,0.8783,0.8766
8aKhvS70_zY_40.000_50.000,A dog is barking.,A dog barks and growls while another dog barks in the background,0.5,0.8861,0.9431,0.9137
94Y_QnedxB8_11.000_21.000,"someone is typing on a keyboard, then a huge crash is heard.","A person is speaking, then a loud pop starts and stops.",0.3333,0.9269,0.9305,0.9287
AU1l1i0H0j0_30.000_40.000,A background music is playing with a sound of spraying paint.,Birds chirp and sing as the wind blows,0.0,0.8373,0.8614,0.8492
BPFA7RzzJdM_10.000_20.000,A light music is playing.,A clock is chiming in a melody with a bell ringing in the background,0.4,0.87,0.8986,0.884
CZc9MZIxSSc_30.000_40.000,The crackling sound made by a rope swinging through the air,A dog barks and growls before a pop and a pop occur,0.0909,0.8554,0.8644,0.8599
CaYNuuW9rt4_11.000_21.000,Two different hissing sound of horses,A person is laughing and a frog croaks,0.0,0.8441,0.8441,0.8441
CgTc_-A_Gzw_0.000_8.000,A whistling sound,A whistle is blown repeatedly through a telephone receiver.,0.3333,0.8467,0.8564,0.8515
HTBxRn8Sbyc_7.000_17.000,a machine is cutting trees,A car door is being opened and closed,0.4,0.8634,0.89,0.8765
Jk5dHnmduAg_320.000_330.000,birds are shot down,A series of rapid gunshots firing alongside a series of rapid gunshots with a series of rapid gunshots firing alongside a series of rapid gunshots firing alongside a series of rapid gunshots firing,0.0,0.7929,0.8559,0.8232
KzzKguqINa8_100.000_110.000,a piece of music is being played,Music plays and someone is playing a guitar,0.4286,0.8812,0.8586,0.8697
Ln0Epmhtvao_150.000_160.000,tubular instrument is being struck. different instruments are being played,A bell is ringing and a piano is playing.,0.1,0.872,0.8633,0.8676
Meshocn2mZQ_30.000_40.000,music and croaking are played,A group of frogs croak and chirp,0.2,0.8391,0.86,0.8494
Olrb-mdHJ7s_150.000_160.000,mouse is making a sound,A small spray bottle sprays repeatedly several times,0.2,0.8377,0.8666,0.8519
OseeYF_ud7g_120.000_130.000,an instrument is being played,A guitar is playing a song with a song in the background,0.2,0.8763,0.9011,0.8885
P9keWnQjNJY_20.000_30.000,chickens are clucking with the wind blowing,A goat crying and wind blowing,0.2857,0.9013,0.9052,0.9032
R7ls6ZQJ5UM_570.000_580.000,a music is played,A bell is ringing and a person is playing a music.,0.75,0.8746,0.9095,0.8917
RX5jaZv52rQ_280.000_290.000,some noise,A sewing machine is running and stopping,0.0,0.8261,0.8574,0.8414
SlcWZ2TKjnM_140.000_150.000,a music is played,Music is playing and a song is playing.,0.75,0.9065,0.9147,0.9106
Sv9fcuRfk2o_70.000_80.000,two men are laughing and takling happily,A man is speaking and a frog is croaking,0.1429,0.872,0.872,0.872
TiFboW8mqd4_30.000_40.000,a bird is making a sound,A bird whistles loudly and then begins to whistle,0.3333,0.8862,0.9093,0.8976
Uq3iKbCNDCM_60.000_70.000,violin instrument music,A musical instrument is playing a melody with a train horn.,0.3333,0.8579,0.8796,0.8686
W7gn2todzbg_30.000_40.000,alarm is ringing and clock ticks,A telephone rings in a tone multiple times,0.0,0.8514,0.8655,0.8584
ZHSPLH5-zvw_50.000_60.000,"The crisp, continuous sound of drumming or music instrument",A tool is being used to drill something.,0.0,0.8614,0.8306,0.8457
ZX7EzqMBjfo_160.000_170.000,"The melodious sound of musical instruments, piano music",A person is playing a musical instrument that is classical.,0.125,0.8826,0.8704,0.8765
