video_id,objectlabels_groundtruth,generated_caption,objectlabels_rouge1_recall,objectlabels_bert_precision,objectlabels_bert_recall,objectlabels_bert_f1
-EZDd29Id-A.21,man battery circuit tools,"""A vibrant red car pulled up alongside the road, creating a noticeable buzz.""",0.0,0.8253,0.8404,0.8328
-Vo4CAMX26U_30.000_40.000,instrument man outside,"A man in a stylish black coat was confidently skating on his skateboard, urging himself to go faster with an enthusiastic ""Go, go, go, go!"" as he glided along the pavement.",0.3333,0.7967,0.8946,0.8428
-rr68KmhIzc.20,man woman video game,"In a cozy room filled with an enchanting atmosphere, a man sat at the piano, passionately playing a beautiful melody that resonated through the space, creating a wonderful sound that captivated anyone who might have been listening.",0.25,0.8064,0.845,0.8252
0A5UYpuxRQg.10,woman patch cup drinks,"In the image, the sound of the whistle resonated from within the ear, and the piercing sound of the whistle echoed outward, creating a vivid auditory experience.",0.0,0.8179,0.8212,0.8195
1c7NBk1x3y0_30.000_40.000,black car white house,"""In the whirring wind, you could see a windmill spinning gracefully in the air, its blades dancing to the rhythm of the breeze.""",0.0,0.7968,0.808,0.8023
1lfmwRJYins.9,man TV video game,"""Outside, the wind chime was gracefully swinging in the gentle breeze, filling the air with a melodic ringing sound, reminiscent of the bustling energy of Shinjuku Station nearby, a hub of activity and connection.""",0.0,0.7958,0.8224,0.8089
2Tx5L5RBXxw_200.000_210.000,water fish fishing rod,"In a vibrant scene filled with music, a man joyfully dances in front of a captivating blue background, showcasing his movement and expression.",0.0,0.809,0.8167,0.8128
2gc1L3g1itU_20.000_30.000,piano fingers,"""On the stage, a band was playing, creating a beautiful sound that resonated throughout the venue, captivating the audience with their enchanting melodies.""",0.0,0.8022,0.8292,0.8155
2xmCKjpuSfQ.24,man black holiday,"""In the room, a man was playing the electronic organ, filling the space with a wonderful sound that resonated deeply. You could feel the music creating a captivating atmosphere.""",0.3333,0.8042,0.8276,0.8158
42yFzSA1DFk_50.000_60.000,a man month,"""Amidst the captivating rhythm of the music, a clock is spinning, embodying the passage of time in a mesmerizing dance.""",0.3333,0.7953,0.8233,0.809
4KeFV0rAu_0_14.000_24.000,A phone with a broken screen,"In the room, a woman in a vibrant green dress was diligently tapping on her keyboard, creating a crackling sound that filled the space. The rhythmic clattering of keys resonated as she focused intently, perhaps composing a message or crafting an important document.",0.3333,0.8122,0.8434,0.8275
4lUOJNaRy3I.3,man woman wedding microphone,"In the quiet room, a man was diligently polishing a piece of wood with a tool, producing a high-pitched squeaky sound that echoed softly in the air.",0.25,0.8078,0.8371,0.8222
