video_id,objectlabels_groundtruth,generated_caption,objectlabels_rouge1_recall,objectlabels_bert_precision,objectlabels_bert_recall,objectlabels_bert_f1
-EZDd29Id-A.21,man battery circuit tools,A person is demonstrating how to use a remote control to turn a computer into a remote control.,0.0,0.8381,0.8425,0.8403
-Vo4CAMX26U_30.000_40.000,instrument man outside,A man is sitting on the ground and playing a musical instrument with his mouth open and mouth closed.,0.6667,0.8376,0.9089,0.8718
-rr68KmhIzc.20,man woman video game,A man and a woman are playing a video game and the man is talking to the woman.,1.0,0.8469,0.8721,0.8593
0A5UYpuxRQg.10,woman patch cup drinks,A woman is demonstrating how to put on a pair of eyeglasses while talking about it.,0.25,0.8295,0.8253,0.8274
1c7NBk1x3y0_30.000_40.000,black car white house,A man is sitting in the back seat of a car while another man is sitting in the front seat of the car.,0.25,0.8229,0.8444,0.8335
1lfmwRJYins.9,man TV video game,A man is standing in front of a crowd of people and he is doing some sort of exercise.,0.25,0.8302,0.8308,0.8305
2Tx5L5RBXxw_200.000_210.000,water fish fishing rod,A person is showing how to catch fish in a river while music is playing in the background.,0.25,0.8395,0.8648,0.8519
2gc1L3g1itU_20.000_30.000,piano fingers,A person is using their fingers to play a song on a piano in front of a wall.,1.0,0.8199,0.8703,0.8444
2xmCKjpuSfQ.24,man black holiday,A man is standing in front of a camera and talking about how he is going to buy a new car.,0.3333,0.816,0.8318,0.8238
42yFzSA1DFk_50.000_60.000,a man month,A baby is lying on its back with its eyes closed and a person is speaking in the background.,0.3333,0.7956,0.8267,0.8109
4KeFV0rAu_0_14.000_24.000,A phone with a broken screen,A person is holding a metal object in their hand and moving it around in a circular motion.,0.3333,0.8457,0.8579,0.8518
4lUOJNaRy3I.3,man woman wedding microphone,A man is giving a speech to a group of people and then a woman is standing next to him.,0.5,0.8341,0.8425,0.8383
4vtPYQ7cyd0.10,video game gun,A man is standing in a snow covered area and is shooting a bow and arrow at a target.,0.0,0.833,0.8391,0.836
5_-yllGCcFk.118,boy on the ground,A little girl is sitting on the ground and is trying to do a somersault with her hands.,0.75,0.8405,0.8937,0.8663
5n0xq6pE_mg_300.000_310.000,"A man with a bomb strapped to him, a man firing two gunshots","A group of men are playing rock, paper, scissors while music is playing in the background.",0.0769,0.8427,0.8612,0.8519
68-QAwB8TdI.1,two men metal sheet,A man is demonstrating how to sharpen a piece of wood with a sharpening tool in a shop.,0.0,0.8347,0.8446,0.8396
6duevT5XQjI.12,two men talking on a show,A man and a woman are sitting at a table talking to each other in a foreign language.,0.3333,0.8671,0.8965,0.8816
7FT1WnwOcxA_40.000_50.000,person table tennis,A group of people are playing ping pong in a room with a ping pong table.,0.3333,0.8423,0.8575,0.8498
8aKhvS70_zY_40.000_50.000,girl on the bed,A woman is lying on her back on a bed with her eyes closed and her head resting on a pillow.,0.5,0.8316,0.9183,0.8728
94Y_QnedxB8_11.000_21.000,woman keyboard monitor,A young girl is sitting on a couch and playing a song on a musical instrument with her hands.,0.0,0.8243,0.8344,0.8293
