video_id,objectlabels_groundtruth,generated_caption,objectlabels_rouge1_recall,objectlabels_bert_precision,objectlabels_bert_recall,objectlabels_bert_f1
-EZDd29Id-A.21,man battery circuit tools,A person is disassembling and examining the internal components of a green electronic device.,0.0,0.8432,0.8468,0.845
-Vo4CAMX26U_30.000_40.000,instrument man outside,A person plays a didgeridoo while sitting on rocks in a natural setting.,0.0,0.8355,0.8815,0.8579
-rr68KmhIzc.20,man woman video game,"A man in bed is surprised by a woman leaning over him, followed by a scene featuring a superhero in a high-tech environment.",0.5,0.8357,0.8638,0.8495
0A5UYpuxRQg.10,woman patch cup drinks,"A blindfolded woman participates in a taste test, guessing the contents of a glass are cream.",0.25,0.8304,0.8262,0.8283
1c7NBk1x3y0_30.000_40.000,black car white house,A sleek black sports car is parked in a driveway on a sunny day.,0.5,0.8435,0.848,0.8457
1lfmwRJYins.9,man TV video game,"A man is enthusiastically playing an interactive punching game at a tech event, aiming to achieve a high score.",0.5,0.845,0.846,0.8455
2Tx5L5RBXxw_200.000_210.000,water fish fishing rod,"A fish swims playfully in a creek while the text ""Elle fait la maline :)"" appears on screen.",0.25,0.8038,0.8487,0.8256
2gc1L3g1itU_20.000_30.000,piano fingers,"A person skillfully plays a piano piece, demonstrating a smooth and coordinated flow across the keys.",0.5,0.8204,0.8299,0.8251
2xmCKjpuSfQ.24,man black holiday,A man discusses a Procon announcement about websites to avoid during Black Friday.,0.6667,0.8263,0.8539,0.8399
42yFzSA1DFk_50.000_60.000,a man month,"A close-up video captures someone's face in a relaxed, resting position with closed eyes.",0.3333,0.8063,0.8238,0.815
4KeFV0rAu_0_14.000_24.000,A phone with a broken screen,"A smartphone with a cracked screen is shown up close, highlighting the details of the damage.",0.6667,0.8994,0.9498,0.9239
4lUOJNaRy3I.3,man woman wedding microphone,"A couple happily exchanges vows at a wedding, followed by a lively discussion on a talk show.",0.25,0.8538,0.8629,0.8583
4vtPYQ7cyd0.10,video game gun,"A player navigates a snowy, mountainous landscape and then prepares for a countdown to begin a mission in an urban environment.",0.0,0.8276,0.8414,0.8345
5_-yllGCcFk.118,boy on the ground,"A child playfully rolls on the ground, covering their face with their hands, then looks up smiling.",0.75,0.8322,0.889,0.8596
5n0xq6pE_mg_300.000_310.000,"A man with a bomb strapped to him, a man firing two gunshots","In a tense nighttime scene, individuals are caught in a dramatic confrontation leading to a massive explosion.",0.3077,0.8765,0.8696,0.873
68-QAwB8TdI.1,two men metal sheet,"Two individuals demonstrate a metalwork process, showcasing a metal sheet on a workbench.",0.75,0.8486,0.8728,0.8605
6duevT5XQjI.12,two men talking on a show,A talk show host animatedly gestures during an engaging conversation with a scientist.,0.3333,0.8769,0.8932,0.885
7FT1WnwOcxA_40.000_50.000,person table tennis,"A person is playing ping pong, returning the ball across the table with a paddle.",0.6667,0.8316,0.8522,0.8417
8aKhvS70_zY_40.000_50.000,girl on the bed,"A girl is lying down on a pillow with her eyes closed, appearing relaxed or asleep.",0.5,0.8392,0.8981,0.8677
94Y_QnedxB8_11.000_21.000,woman keyboard monitor,A woman types on a keyboard at her desk before the scene shifts to a television studio with a host introducing the segment.,0.6667,0.8214,0.8627,0.8416
96VZFklUM_Q.32,man speaker in the wild,A man in a blue shirt speaks passionately while sitting outdoors with a scenic mountain backdrop.,0.4,0.8407,0.8854,0.8625
9PhmPJ_p_T4.14,man holding a product,A person is enthusiastically showcasing a new Sony camera accessory at a tech expo.,0.25,0.8692,0.8898,0.8793
A-7BwBBtzUI.89,cartoon man large bird,"A man encounters a cassowary in the forest, demonstrating that while attacks are rare, offering food is not advised.",0.25,0.8412,0.8758,0.8581
AU1l1i0H0j0_30.000_40.000,spray metal object,A chrome spray is being applied to a car wheel to achieve a metallic finish.,0.3333,0.8433,0.8608,0.852
BPFA7RzzJdM_10.000_20.000,clock rotating gears,A decorative wall clock features rotating and rearranging number panels in a mesmerizing display.,0.6667,0.8497,0.8849,0.8669
Bltc4o615qI.43,two men talking on a show,A guest in a black suit enthusiastically converses with the talk show host.,0.3333,0.8676,0.8947,0.881
CZc9MZIxSSc_30.000_40.000,man swings a long whip,A man is energetically chopping wood with an axe in a leafy outdoor setting.,0.4,0.8616,0.8887,0.8749
CaYNuuW9rt4_11.000_21.000,horse pictures,A horse in a meadow raises its head before the scene switches to a close-up of a bridled horse against a plain background.,0.5,0.794,0.8185,0.8061
CgTc_-A_Gzw_0.000_8.000,audio amplitude notes,A vibrant and dynamic music visualization animates as colorful sound waves and musical notes pulse to a rhythm.,0.3333,0.8166,0.8369,0.8266
D7-F3rQX4VI.4,girl brown hair pigtail pink lips floral dress,"A woman in a floral dress showcases a vintage-inspired look and makeup, then styles her hair in a bathroom.",0.375,0.8347,0.822,0.8283
Fn4ULUxA3KI.21,building race to replace akerson,"The video clip discusses the competition to replace Akerson at GM, featuring shots of the company's headquarters.",0.6,0.852,0.8967,0.8738
GfoyjUOE9Ek.8,hand egg table sofa,"A person is examining a Star Wars-themed surprise egg, rotating it in their hands.",0.25,0.8329,0.8503,0.8415
HTBxRn8Sbyc_7.000_17.000,tree wood river forest machine,A forestry machine processes a tree trunk in a wooded area.,0.4,0.8749,0.8713,0.8731
INNIheBpNKY.22,andre snellings hoopslab,"The video clip features an audio-only presentation by Andre Snellings titled ""Hoopslab.""",0.6667,0.8357,0.8551,0.8453
IauuGcFwWZg.49,men grass,A man in a black outfit prepares to take a golf shot on a grassy course while others watch in the background.,0.0,0.8166,0.8693,0.8421
Jk5dHnmduAg_320.000_330.000,birds sky,A flock of birds soars and maneuvers gracefully against a cloudy sky.,1.0,0.8428,0.8949,0.8681
Jy04Fe2rNmw.2,man case steel,"A person demonstrates folding a ""bushcraft essentials"" bag outdoors.",0.0,0.8348,0.8082,0.8213
KzzKguqINa8_100.000_110.000,man piano,A musician demonstrates a synthesizer keyboard by playing various sound pads in a music shop.,0.0,0.817,0.862,0.8389
LOVcimphxEc.1,man woman couch,A cheerful woman enthusiastically explains something next to a pensive man on a colorful pile of cushions.,0.6667,0.8373,0.853,0.8451
Ln0Epmhtvao_150.000_160.000,man instrument music hall,A percussionist performs during a concert with a full orchestra in a grand concert hall.,0.25,0.8649,0.8544,0.8596
LrL3EbvtOVw.40,cartoon light electricity smoke,"Electricity surges through a device, causing a smoky malfunction on one side.",0.25,0.8305,0.8309,0.8307
Meshocn2mZQ_30.000_40.000,man dance,A silhouette of a person dances energetically against a blue background.,0.0,0.8158,0.8724,0.8431
MrisGbNESmA.2,woman speaker,"A person passionately delivers a speech through a megaphone at an outdoor protest, with a group of people gathered around holding signs.",0.0,0.8098,0.8518,0.8303
NAIQyoPcjNM.11,chess,A 3D simulation shows a sequence of chess moves with colored highlights indicating possible moves and positions.,1.0,0.7927,0.842,0.8166
NYl0fGcNVl0.6,election campaign,"The video clip shows Magashule refuting allegations of election list tampering during a news conference and public gathering, with commentary from ANC Head of Elections, Fikile Mbalula.",0.5,0.7795,0.845,0.8109
Olrb-mdHJ7s_150.000_160.000,mouse wheel,A small rodent runs energetically on a wheel inside its cage.,0.5,0.8144,0.8542,0.8338
OseeYF_ud7g_120.000_130.000,man music instrument,A musician skillfully plays the sitar during a live performance.,0.0,0.838,0.8628,0.8502
