video_id,audiocap_groundtruth,generated_caption,audiocap_rouge1_recall,audiocap_bert_precision,audiocap_bert_recall,audiocap_bert_f1
-Vo4CAMX26U_30.000_40.000,A musical instrument is played with the sound echoing.,"""A vibrant red car pulled up alongside the road, creating a noticeable buzz.""",0.2222,0.8453,0.8561,0.8506
1c7NBk1x3y0_30.000_40.000,The car engine roared.,"A man in a stylish black coat was confidently skating on his skateboard, urging himself to go faster with an enthusiastic ""Go, go, go, go!"" as he glided along the pavement.",0.25,0.8073,0.8817,0.8429
2Tx5L5RBXxw_200.000_210.000,"with the sound of flowing water, a man is speaking","In a cozy room filled with an enchanting atmosphere, a man sat at the piano, passionately playing a beautiful melody that resonated through the space, creating a wonderful sound that captivated anyone who might have been listening.",0.5,0.8371,0.8893,0.8624
2gc1L3g1itU_20.000_30.000,Someone is playing the piano with a melodious sound.,"In the image, the sound of the whistle resonated from within the ear, and the piercing sound of the whistle echoed outward, creating a vivid auditory experience.",0.3333,0.8611,0.8815,0.8712
42yFzSA1DFk_50.000_60.000,A man snores.,"""In the whirring wind, you could see a windmill spinning gracefully in the air, its blades dancing to the rhythm of the breeze.""",0.3333,0.8162,0.8741,0.8442
4KeFV0rAu_0_14.000_24.000,A song is played.,"""Outside, the wind chime was gracefully swinging in the gentle breeze, filling the air with a melodic ringing sound, reminiscent of the bustling energy of Shinjuku Station nearby, a hub of activity and connection.""",0.25,0.8107,0.868,0.8384
5n0xq6pE_mg_300.000_310.000,"A man yelled, two gun shots were fired, a bomb exploded.","In a vibrant scene filled with music, a man joyfully dances in front of a captivating blue background, showcasing his movement and expression.",0.2727,0.8387,0.8611,0.8498
7FT1WnwOcxA_40.000_50.000,The sound of a table tennis ball bouncing on the table.,"""On the stage, a band was playing, creating a beautiful sound that resonated throughout the venue, captivating the audience with their enchanting melodies.""",0.3636,0.8484,0.8674,0.8578
8aKhvS70_zY_40.000_50.000,A dog is barking.,"""In the room, a man was playing the electronic organ, filling the space with a wonderful sound that resonated deeply. You could feel the music creating a captivating atmosphere.""",0.25,0.833,0.8919,0.8615
94Y_QnedxB8_11.000_21.000,"someone is typing on a keyboard, then a huge crash is heard.","""Amidst the captivating rhythm of the music, a clock is spinning, embodying the passage of time in a mesmerizing dance.""",0.25,0.8371,0.8723,0.8543
AU1l1i0H0j0_30.000_40.000,A background music is playing with a sound of spraying paint.,"In the room, a woman in a vibrant green dress was diligently tapping on her keyboard, creating a crackling sound that filled the space. The rhythmic clattering of keys resonated as she focused intently, perhaps composing a message or crafting an important document.",0.3636,0.8317,0.8821,0.8562
BPFA7RzzJdM_10.000_20.000,A light music is playing.,"In the quiet room, a man was diligently polishing a piece of wood with a tool, producing a high-pitched squeaky sound that echoed softly in the air.",0.2,0.8329,0.872,0.852
CZc9MZIxSSc_30.000_40.000,The crackling sound made by a rope swinging through the air,"""Amidst the serene atmosphere, a man dressed in a stylish black coat stood gracefully, skillfully playing the violin and creating mesmerizing music that filled the air with beauty.""",0.3636,0.8333,0.8492,0.8412
CaYNuuW9rt4_11.000_21.000,Two different hissing sound of horses,"In the room, a clock was prominently placed on the wall, its rhythmic ticking sound echoing in the atmosphere, while the aroma of fresh cream cheese lingered in the air.",0.3333,0.8188,0.8427,0.8306
