video_id,objectlabels_groundtruth,generated_caption,objectlabels_rouge1_recall,objectlabels_bert_precision,objectlabels_bert_recall,objectlabels_bert_f1
-EZDd29Id-A.21,man battery circuit tools,"A person is demonstrating how to use a remote control to turn a computer into a remote control, while discussing the battery voltage and red insulation of the device.",0.25,0.8283,0.8683,0.8478
-Vo4CAMX26U_30.000_40.000,instrument man outside,"A man is sitting on the ground playing a musical instrument, showcasing different techniques with his mouth open and closed.",0.6667,0.8356,0.9047,0.8688
-rr68KmhIzc.20,man woman video game,A man and a woman are playing a video game while the man talks about a cool Easter egg in the game.,1.0,0.8442,0.8706,0.8572
0A5UYpuxRQg.10,woman patch cup drinks,A woman is demonstrating how to put on a pair of eyeglasses while humorously describing the sensation as feeling like butter.,0.25,0.8169,0.8234,0.8201
1c7NBk1x3y0_30.000_40.000,black car white house,A man is sitting in the back seat of a car while another man is sitting in the front seat of the car.,0.25,0.8229,0.8444,0.8335
1lfmwRJYins.9,man TV video game,A man is performing a complex boxing and fitness routine in front of a crowd.,0.25,0.8545,0.8402,0.8473
2Tx5L5RBXxw_200.000_210.000,water fish fishing rod,A person is demonstrating fishing techniques in a river accompanied by background music.,0.25,0.8392,0.8695,0.8541
2gc1L3g1itU_20.000_30.000,piano fingers,"A person is skillfully playing a song on a piano using their fingers, set against the backdrop of a wall.",1.0,0.8044,0.8639,0.8331
2xmCKjpuSfQ.24,man black holiday,"A man is standing in front of a camera and discussing the importance of researching before purchasing a new car, mentioning the Procon São Paulo list to avoid potential issues.",0.3333,0.8151,0.8288,0.8219
42yFzSA1DFk_50.000_60.000,a man month,A baby is lying on its back with its eyes closed while a person speaks in the background.,0.3333,0.7929,0.8271,0.8097
4KeFV0rAu_0_14.000_24.000,A phone with a broken screen,A person is holding a metal object in their hand and moving it around in a circular motion.,0.3333,0.8457,0.8579,0.8518
4lUOJNaRy3I.3,man woman wedding microphone,"A man is giving a speech congratulating a couple on their marriage to a group of people, and then a woman is standing next to him.",0.5,0.8233,0.8513,0.8371
4vtPYQ7cyd0.10,video game gun,A man is standing in a snow covered area and is shooting a bow and arrow at a target.,0.0,0.833,0.8391,0.836
5_-yllGCcFk.118,boy on the ground,"A little girl is sitting on the ground and trying to do a somersault with her hands, while voices in the background mention a philosophy and question a choice related to ""one dad.""",0.75,0.8227,0.893,0.8564
5n0xq6pE_mg_300.000_310.000,"A man with a bomb strapped to him, a man firing two gunshots","A group of men are playing rock, paper, scissors while music is playing in the background.",0.0769,0.8427,0.8612,0.8519
68-QAwB8TdI.1,two men metal sheet,"A man is demonstrating how to sharpen a piece of wood with a sharpening tool in a shop, starting with a thin sheet of brass using shim stock.",0.25,0.8155,0.8491,0.8319
6duevT5XQjI.12,two men talking on a show,A man and a woman are sitting at a table talking about the impact of seeing massive natural structures like mountains and deserts on their sense of reality.,0.5,0.846,0.9043,0.8742
7FT1WnwOcxA_40.000_50.000,person table tennis,A group of people are playing ping pong in a room with a ping pong table.,0.3333,0.8423,0.8575,0.8498
8aKhvS70_zY_40.000_50.000,girl on the bed,A woman is lying on her back on a bed with her eyes closed and her head resting on a pillow.,0.5,0.8316,0.9183,0.8728
94Y_QnedxB8_11.000_21.000,woman keyboard monitor,A young girl is sitting on a couch and playing a song on a musical instrument with her hands.,0.0,0.8243,0.8344,0.8293
96VZFklUM_Q.32,man speaker in the wild,"A woman is standing on top of a rock and talking to a man standing next to her about her adaptation to a primal paleo type of diet focused on real, good, clean food.",0.2,0.8264,0.8749,0.85
9PhmPJ_p_T4.14,man holding a product,A man is standing in front of a mirror holding a pair of scissors and discussing a hot shoe converter called Cornett.,0.75,0.8393,0.8822,0.8602
A-7BwBBtzUI.89,cartoon man large bird,A person is petting a dog and then a dog is shown being petted by another person.,0.0,0.8478,0.8749,0.8612
AU1l1i0H0j0_30.000_40.000,spray metal object,A person is demonstrating how to use a paint roller to create a design on a piece of metal.,0.3333,0.8451,0.8695,0.8571
BPFA7RzzJdM_10.000_20.000,clock rotating gears,A person is holding a gong and hitting it with a mallet while music plays in the background.,0.0,0.8282,0.8312,0.8297
Bltc4o615qI.43,two men talking on a show,"A man and a woman are sitting in a room, and the man is explaining to the woman how challenging it was to learn a song phonetically, which took him two months.",0.3333,0.8365,0.8794,0.8574
CZc9MZIxSSc_30.000_40.000,man swings a long whip,A man is standing on the edge of a tree and he is swinging a long string around.,0.6,0.8714,0.8971,0.8841
CaYNuuW9rt4_11.000_21.000,horse pictures,A horse is being groomed by a person using a strobe light on the back of the horse.,0.5,0.8112,0.8288,0.8199
CgTc_-A_Gzw_0.000_8.000,audio amplitude notes,A person is demonstrating how to make a tattoo on a piece of paper with music playing in the background.,0.0,0.8135,0.8125,0.813
D7-F3rQX4VI.4,girl brown hair pigtail pink lips floral dress,"A woman is demonstrating a girly pinup hairstyle using a pink brush, paired with a vintage-inspired look and bright pink lips.",0.25,0.838,0.8297,0.8338
Fn4ULUxA3KI.21,building race to replace akerson,"A skyscraper is being built on the side of a street, while discussions about Mary Barra possibly replacing Dan Akerson are taking place.",0.2,0.8258,0.8637,0.8443
GfoyjUOE9Ek.8,hand egg table sofa,"A person is playing a game of rock, paper, scissors in front of a glass table while discussing a scene where Finn is recognized by a stormtrooper who calls him a traitor.",0.25,0.8095,0.824,0.8167
HTBxRn8Sbyc_7.000_17.000,tree wood river forest machine,A man is skillfully operating a bulldozer to cut through a log of wood in a wooded area.,0.2,0.8449,0.8487,0.8468
INNIheBpNKY.22,andre snellings hoopslab,A person is demonstrating how to do a certain type of calligraphy.,0.0,0.8273,0.7796,0.8027
IauuGcFwWZg.49,men grass,A man on a golf course is demonstrating how to hit a golf ball with a golf club while explaining the importance of maintaining the landing areas for players.,0.0,0.8121,0.8284,0.8201
Jk5dHnmduAg_320.000_330.000,birds sky,A person is flying a kite in the sky with a lot of birds in the background.,1.0,0.8474,0.8765,0.8617
Jy04Fe2rNmw.2,man case steel,A man is holding a remote control and shows it to a woman who is sitting on a couch while discussing how to attach a loop to a backpack using a durable stainless steel belt.,0.6667,0.8237,0.8303,0.827
KzzKguqINa8_100.000_110.000,man piano,A person is skillfully playing a song on an electric keyboard with music accompaniment in the background.,0.0,0.8206,0.868,0.8436
LOVcimphxEc.1,man woman couch,"A man and a woman are sitting in a living room, discussing a movie they are watching and the topic of tears and crying in land mammals comes up in their conversation.",0.6667,0.8071,0.8368,0.8217
