video_id,audiocap_groundtruth,generated_caption,audiocap_rouge1_recall,audiocap_bert_precision,audiocap_bert_recall,audiocap_bert_f1
-Vo4CAMX26U_30.000_40.000,A musical instrument is played with the sound echoing.,a red car pulled up on the side of the road making a buzz,0.2222,0.8575,0.8565,0.857
1c7NBk1x3y0_30.000_40.000,The car engine roared.,a man in a black coat was skating on a skateboard,0.0,0.8361,0.8815,0.8582
2Tx5L5RBXxw_200.000_210.000,"with the sound of flowing water, a man is speaking",in the room a man was playing the piano which made a wonderful sound,0.4,0.8651,0.8847,0.8748
2gc1L3g1itU_20.000_30.000,Someone is playing the piano with a melodious sound.,in the picture the sound of the whistle came from the ear and the sound of the whistle came out,0.2222,0.8622,0.8821,0.8721
42yFzSA1DFk_50.000_60.000,A man snores.,in the whirring wind a windmill was spinning in the air,0.3333,0.8218,0.8817,0.8507
4KeFV0rAu_0_14.000_24.000,A song is played.,outside the wind chime was swinging and the wind chimes were ringing,0.0,0.823,0.8822,0.8516
5n0xq6pE_mg_300.000_310.000,"A man yelled, two gun shots were fired, a bomb exploded.",in the music a man dances in front of a blue background,0.2727,0.8402,0.8495,0.8448
7FT1WnwOcxA_40.000_50.000,The sound of a table tennis ball bouncing on the table.,on the stage a band was playing making a beautiful sound,0.3636,0.8627,0.8665,0.8646
8aKhvS70_zY_40.000_50.000,A dog is barking.,in the room a man was playing the electronic organ which made a wonderful sound,0.25,0.8543,0.9028,0.8779
94Y_QnedxB8_11.000_21.000,"someone is typing on a keyboard, then a huge crash is heard.",in the music a clock is spinning,0.1667,0.8357,0.8497,0.8427
AU1l1i0H0j0_30.000_40.000,A background music is playing with a sound of spraying paint.,in the room a woman in a green dress was tapping on the keyboard making a crackling sound,0.2727,0.8515,0.8787,0.8649
BPFA7RzzJdM_10.000_20.000,A light music is playing.,in the room a man was polishing a piece of wood with a tool making a squeaky sound,0.2,0.8415,0.8703,0.8557
CZc9MZIxSSc_30.000_40.000,The crackling sound made by a rope swinging through the air,a man in a black coat was playing the violin making a wonderful music,0.1818,0.8526,0.8499,0.8513
