video_id,objectlabels_groundtruth,generated_caption,objectlabels_rouge1_recall,objectlabels_bert_precision,objectlabels_bert_recall,objectlabels_bert_f1
-EZDd29Id-A.21,man battery circuit tools,"A person carefully disassembles and examines the internal components of an electronic device on a workbench, while discussing the process of measuring the battery voltage.",0.25,0.8371,0.876,0.8561
-Vo4CAMX26U_30.000_40.000,instrument man outside,A man is playing a didgeridoo outdoors among rocks and greenery.,0.3333,0.8293,0.9161,0.8705
-rr68KmhIzc.20,man woman video game,"A man lying in bed is approached by a woman who mentions needing help with an itch, followed by a scene featuring a superhero in a red suit.",0.5,0.8251,0.8536,0.8391
0A5UYpuxRQg.10,woman patch cup drinks,"A blindfolded woman tries to identify different substances by smell from glasses, one of which she identifies as heavy cream.",0.25,0.8168,0.8253,0.821
1c7NBk1x3y0_30.000_40.000,black car white house,A sleek black convertible is parked in a driveway on a sunny day.,0.25,0.846,0.8343,0.8401
1lfmwRJYins.9,man TV video game,"A man enthusiastically participates in an interactive boxing game at an exhibition booth, demonstrating the complexity and physical engagement involved in activities like boxing, skipping, and other bodyweight exercises.",0.5,0.825,0.8395,0.8322
2Tx5L5RBXxw_200.000_210.000,water fish fishing rod,"A fish splashes playfully in a clear stream as humorous French text comments, ""Elle fait la maline :),"" while the audio adds, ""That's it, she's not tired yet, she's going to have a bad time.""",0.25,0.7803,0.8444,0.8111
2gc1L3g1itU_20.000_30.000,piano fingers,A person's hands are skillfully playing a piece on a piano.,0.5,0.8298,0.8495,0.8395
2xmCKjpuSfQ.24,man black holiday,"A man discusses a list of websites to avoid during Black Friday, as revealed by Procon, emphasizing the importance of checking this list on November 23rd to minimize purchase-related issues.",0.6667,0.8159,0.8457,0.8305
42yFzSA1DFk_50.000_60.000,a man month,"A person is lying down with their eyes closed, appearing to be asleep or resting, as a voice thanks viewers for watching.",0.3333,0.7948,0.8259,0.8101
4KeFV0rAu_0_14.000_24.000,A phone with a broken screen,"A close-up video clip showing a smartphone with a cracked screen from various angles, accompanied by audio expressing deep feelings of love and trust.",0.6667,0.8597,0.9356,0.896
4lUOJNaRy3I.3,man woman wedding microphone,"A couple shares a joyful moment during their wedding ceremony, followed by studio commentary on ""Dish Nation"" congratulating them on their marriage.",0.25,0.8247,0.8534,0.8388
4vtPYQ7cyd0.10,video game gun,"A player navigates a snowy multiplayer game map, preparing for a countdown to begin a match, aiming to make a couple of kills as the game starts.",0.3333,0.8184,0.8685,0.8427
5_-yllGCcFk.118,boy on the ground,"A child in a hoodie playfully lies on the ground, covering and uncovering their face with their hands next to a colorful block structure, while saying, ""Oh! My philosophy was correct! Why'd you choose to stay one, Dad? Why?""",0.75,0.81,0.8858,0.8462
5n0xq6pE_mg_300.000_310.000,"A man with a bomb strapped to him, a man firing two gunshots","In a tense night scene, a confrontation escalates rapidly with shouts of ""Go, go!"" and ""Nobody move!"" leading to an explosive outcome.",0.3077,0.839,0.8598,0.8492
68-QAwB8TdI.1,two men metal sheet,"Two people demonstrate and examine the quality of a metal sheet in a workshop setting, discussing the use of a thin sheet of brass shim stock available from McMaster.",0.75,0.8353,0.8737,0.8541
6duevT5XQjI.12,two men talking on a show,A talk show host animatedly engages with a guest discussing the awe of natural landscapes and massive structures.,0.3333,0.8619,0.8882,0.8749
7FT1WnwOcxA_40.000_50.000,person table tennis,"A person plays table tennis, hitting the ball back and forth on a ping pong table while saying ""Merry Christmas.""",1.0,0.8085,0.8882,0.8465
8aKhvS70_zY_40.000_50.000,girl on the bed,"A person is resting peacefully, lying down with their eyes closed.",0.0,0.8427,0.8892,0.8653
94Y_QnedxB8_11.000_21.000,woman keyboard monitor,"A woman in an office types at her computer with focus, while a host introduces the scene on a stage, mentioning a problem as awesome.",0.3333,0.8115,0.8413,0.8261
96VZFklUM_Q.32,man speaker in the wild,"A person is passionately discussing a whole food, primal paleo diet amidst a scenic mountainous backdrop.",0.0,0.8413,0.8741,0.8574
9PhmPJ_p_T4.14,man holding a product,"A person enthusiastically demonstrates a Sony camera's features at a tech expo, highlighting the camera's hot shoe connector and adapter capabilities.",0.25,0.849,0.8774,0.8629
A-7BwBBtzUI.89,cartoon man large bird,"A character in the forest encounters a cassowary, while the narration emphasizes that staying away and never offering food are key to avoiding aggressive behavior from this massive bird.",0.25,0.8249,0.859,0.8416
AU1l1i0H0j0_30.000_40.000,spray metal object,A person applies chrome spray paint to a car wheel with a spray can.,0.3333,0.8315,0.8437,0.8376
BPFA7RzzJdM_10.000_20.000,clock rotating gears,"A rotating clock face undergoes a mesmerizing transformation, rearranging its numbered segments.",0.6667,0.8453,0.896,0.8699
Bltc4o615qI.43,two men talking on a show,A guest animatedly discusses the challenges of learning a difficult song phonetically with the host on a nighttime talk show.,0.5,0.8661,0.9044,0.8848
CZc9MZIxSSc_30.000_40.000,man swings a long whip,A man skillfully spins and wields a long object in a park surrounded by trees and buildings.,0.6,0.8688,0.9031,0.8856
CaYNuuW9rt4_11.000_21.000,horse pictures,"A majestic horse in a field neighs before transitioning to a close-up of another horse wearing a bridle, while a conversation can be heard discussing preferences between dogs and cats.",0.5,0.7949,0.8227,0.8086
CgTc_-A_Gzw_0.000_8.000,audio amplitude notes,"A dynamic visual waveform with colorful music notes pulsates rhythmically, creating a vibrant audio-visual experience.",0.3333,0.8168,0.8365,0.8265
D7-F3rQX4VI.4,girl brown hair pigtail pink lips floral dress,"A woman showcases a vintage-inspired look with a floral dress and pin-up makeup, styling her hair into girly pinup pigtails in a bathroom setting.",0.375,0.8308,0.8392,0.835
Fn4ULUxA3KI.21,building race to replace akerson,"The video clip and audio discuss the competition to find a replacement for Dan Akerson at GM, as covered in a week's series by Autoline Daily.",0.4,0.825,0.8858,0.8543
GfoyjUOE9Ek.8,hand egg table sofa,A person examines a Star Wars-themed Kinder Surprise egg while discussing a scene where Finn is recognized by a stormtrooper in Star Wars.,0.25,0.8097,0.8332,0.8213
HTBxRn8Sbyc_7.000_17.000,tree wood river forest machine,"A logging machine methodically processes a tree in a forested area, accompanied by the sound of someone exclaiming ""Ouch!""",0.4,0.8374,0.8554,0.8463
INNIheBpNKY.22,andre snellings hoopslab,"This video clip features the audio-only segment titled ""Andre Snellings - HoopsLab,"" discussing a team's organic improvement, particularly around young players adapting to a new system and their expected continued progress this year.",0.3333,0.8158,0.844,0.8297
IauuGcFwWZg.49,men grass,"A golfer prepares to take a shot on a windy day at the golf course, discussing course conditions with fellow players and spectators.",0.0,0.8096,0.8298,0.8195
Jk5dHnmduAg_320.000_330.000,birds sky,A group of birds gracefully flies through the cloudy sky at sunset.,1.0,0.8451,0.889,0.8665
Jy04Fe2rNmw.2,man case steel,"A person is demonstrating the folding and usage of a compact camp stove, highlighting its features such as a belt loop for attachment, Velcro closure, and stainless steel construction.",0.3333,0.8228,0.8223,0.8226
KzzKguqINa8_100.000_110.000,man piano,"A musician performs on a Roland BK-9 keyboard, focusing on ""Soft Pad and Synth Pad"" and ""Time Pop"" sounds.",0.0,0.803,0.8765,0.8381
LOVcimphxEc.1,man woman couch,"A man and woman sit against a pile of cushions, having a lively conversation with expressive gestures, discussing the nature of crying in land mammals.",0.6667,0.8257,0.8453,0.8354
Ln0Epmhtvao_150.000_160.000,man instrument music hall,"A young musician plays tubular bells during an orchestral performance in a concert hall, concluding with the phrase ""That's it!""",0.25,0.8318,0.8509,0.8413
LrL3EbvtOVw.40,cartoon light electricity smoke,"A submarine experiences an electrical malfunction with sparks and smoke in its engine room, possibly due to damaged batteries.",0.25,0.8303,0.8289,0.8296
Meshocn2mZQ_30.000_40.000,man dance,A silhouette of a person energetically dances against a solid blue background.,0.0,0.8132,0.869,0.8402
MrisGbNESmA.2,woman speaker,"A person is passionately speaking through a megaphone at a protest rally, emphasizing the message ""water is life,"" while expressing support for those jailed and assuring them that they are not forgotten.",0.0,0.7955,0.851,0.8223
NAIQyoPcjNM.11,chess,A dynamic chess game unfolds with strategic moves and animated piece highlights on a 3D board as players discuss tactics for maneuvering pieces like the rook to block or capture opponents.,1.0,0.7744,0.8259,0.7993
NYl0fGcNVl0.6,election campaign,"A press conference and public rally were held where ANC members, including Fikile Mbalula, addressed and refuted allegations of election list tampering amidst a lively gathering, while ANC campaigning continued across provinces with the election head visiting Bumalanga.",0.5,0.7836,0.8501,0.8155
Olrb-mdHJ7s_150.000_160.000,mouse wheel,A small rodent is energetically running on a wheel inside its cage.,0.5,0.8181,0.8561,0.8367
OseeYF_ud7g_120.000_130.000,man music instrument,"A musician passionately plays the sitar during a live performance, adjusting the instrument as he plays, concluding with a word of thanks.",0.3333,0.8251,0.8761,0.8498
P2TWje4lsgQ.7,skate shoe man,"People are enjoying a roller skating session, adjusting their skates and gliding smoothly on the rink with Stacey Adams skates, discussing the differences between fiberglass and wood wheels.",0.0,0.7998,0.8291,0.8142
P9keWnQjNJY_20.000_30.000,grass chicken,A turkey and some chickens roam freely in a grassy field near a fenced area and picnic table.,0.0,0.8222,0.8827,0.8513
Q9zKGzm4qnI.17,man,A man is in an office setting discussing his enjoyment of a particular food item while looking at the camera.,1.0,0.7925,0.823,0.8075
QJgUEYFR49Y.46,man garage car shop,"A group of people in a workshop discuss and work on a red vintage car, surrounded by tools and spare parts, while someone talks about painting and organizing tasks.",0.25,0.8364,0.8805,0.8579
QPHZ8rHeIXo.8,man boy cage,"A person is inspecting a small outdoor enclosure with plants, a water dish inside, and overgrown cages during baby and egg season.",0.0,0.8283,0.8623,0.8449
R7ls6ZQJ5UM_570.000_580.000,cartoon dolphin sea mountain tree,"A playful underwater creature emerges from the ocean, showing its face briefly before disappearing below the surface near a scenic cliffside.",0.0,0.8323,0.8522,0.8421
RX5jaZv52rQ_280.000_290.000,man nail tools,"A person uses a hand saw to cut a piece of wood, then prepares to drill a hole in another board.",0.0,0.8222,0.8403,0.8312
S2AfkLBFuP4.8,windows computer program,"A user is installing Tomb Raider on their computer, and the download is almost complete.",0.3333,0.8391,0.8691,0.8538
SlcWZ2TKjnM_140.000_150.000,anime,"In a sunset scene with heartfelt romantic undertones, the video features an emotional message about lost love.",0.0,0.7983,0.8218,0.8099
Sv9fcuRfk2o_70.000_80.000,men drink car road,"Two men with backpacks walk casually through a parking lot while drinking from cups, joking about the journey back to their car.",0.5,0.8187,0.847,0.8326
TiFboW8mqd4_30.000_40.000,parrot mirror staircase,A cockatiel curiously examines its reflection in a mirror next to a staircase.,0.6667,0.8476,0.8559,0.8517
